id,date_time,address,lon,lat,Weather,road_surface,traffic_control_device,intersection_type,traffic_way_desc,collision_manner,num_involved_vehicles,vehicle1_configuration,driver1_contrib1,driver1_contrib2,vehicle2_configuration,driver2_contrib1,driver2_contrib2,vehicle3_configuration,driver3_contrib1,driver3_contrib2,vehicle4_configuration,driver4_contrib1,driver4_contrib2,vehicle5_configuration,driver5_contrib1,driver5_contrib2,vehicle6_configuration,driver6_contrib1,driver6_contrib2,vehicle7_configuration,driver7_contrib1,driver7_contrib2,Bicycle,Pedestrian,non_mv,non_motorist_location,non_motorist_action,non_motorist_type,manner_of_non_motorist_collision,Injury,Multiple,Gender1,Age1,Severity1,Hospital1,Gender2,Age2,Severity2,Hospital2,Gender3,Age3,Severity3,Hospital3,Gender4,Age4,Severity4,Hospital4,Gender5,Age5,Severity5,Hospital5,city_vehicle,Notes
35,01/21/2010 10:00:00 AM,"88 JOSEPHINE AVENUE, Somerville, MA",-71.113381,42.398244,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
36,01/22/2010 08:22:00 AM," HIGHLAND AVENUE and WALNUT STREET, Somerville, MA",-71.0941672,42.3851419,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
37,01/22/2010 09:33:00 PM," CHETWYND ROAD and CURTIS STREET, Somerville, MA",-71.1241608,42.4079705,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
38,01/22/2010 10:37:00 PM," GORHAM STREET and HOLLAND STREET, Somerville, MA",-71.1252368,42.3998502,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
39,01/23/2010 07:25:00 AM,"13 MALVERN AVENUE, Somerville, MA",-71.128428,42.400085,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
40,01/23/2010 01:16:00 PM," SOUTH STREET and WINDSOR STREET, Somerville, MA",-71.0928349,42.3752417,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
41,01/23/2010 08:10:00 PM,"386 HIGHLAND AVENUE, Somerville, MA",-71.1197804,42.3952107,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
42,01/24/2010 10:21:00 AM,"6 MACARTHUR STREET, Somerville, MA",-71.0879296,42.3890844,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
43,01/25/2010 02:50:00 PM," BROADWAY and MACARTHUR STREET, Somerville, MA",-71.0877919,42.3894343,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
44,01/25/2010 01:50:00 AM," WEBSTER AVENUE and WASHINGTON STREET, Somerville, MA",-71.0964021,42.3796323,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,,,,1,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
45,01/25/2010 07:09:00 PM,"20 WEBSTER STREET, Somerville, MA",-71.0851797,42.3855798,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
46,01/26/2010 10:05:00 AM,"1366 BROADWAY, Somerville, MA",-71.1333859,42.4061372,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
47,01/28/2010 12:00:00 AM,"4 CROSS STREET, Somerville, MA",-71.0859388,42.3883032,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
48,01/28/2010 12:00:00 PM," STURTEVANT STREET, Somerville, MA",-71.0786792,42.3891855,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
49,01/30/2010 03:30:00 PM," WASHINGTON STREET and SOMERVILLE AVENUE, Somerville, MA",-71.0964021,42.3796323,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
50,01/31/2010 10:11:00 PM,"32 JAQUES STREET, Somerville, MA",-71.090883,42.393178,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
51,02/01/2010 10:30:00 AM,"643 BROADWAY, Somerville, MA",-71.1101304,42.3994632,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
52,02/01/2010 06:05:00 PM,"1020 BROADWAY, Somerville, MA",-71.1232758,42.4015705,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,,,,1,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
53,02/02/2010 04:00:00 PM," BROADWAY and COLLEGE AVENUE, Somerville, MA",-71.117348,42.400524,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,,,,0,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
54,02/02/2010 01:47:00 PM," BEACON STREET and PROPERZI WAY, Somerville, MA",-71.1079565,42.3795578,,,,,,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,,,,1,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
