"STATION","NAME","DATE","PRCP","SNOW","SNWD","WESD","WESF"
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-07","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-08","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-09","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-10","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-11","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-12","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-13","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-14","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-15","0.09","1.8","2",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-16","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-17","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-18","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-19","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-20","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-21","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-22","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-23","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-24","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-25","0.19","3.1","3",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-26","0.04","0.5","2",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-27","0.00","0.0","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-02-28","0.00","0.0","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-01","0.45","6.5","6",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-02","0.03",,"7",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-04","0.00","0.0","3",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-05","0.00","0.0","2",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-06","0.00","0.0","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-07","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-08","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-09","0.10","2.0","2",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-10","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-11","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-12","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-13","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-14","0.20","3.0","3",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-15","0.10","1.8","4",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-16","0.00","0.0","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-17","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-18","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-19","0.07","1.1","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-20","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-21","0.01","0.3","1",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-22","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-23","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-24","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-25","0.05","0.3","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-26","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-27","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-28","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-29","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-30","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-03-31","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-01","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-02","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-03","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-04","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-05","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-06","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-07","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-08","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-09","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-10","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-11","0.01","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-12","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-13","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-14","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-15","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-16","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-25","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-26","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-27","0.06","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-28","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-04-29","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-02","0.11","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-03","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-04","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-05","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-06","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-07","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-08","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-09","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-10","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-11","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-12","0.63","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-13","0.02","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-14","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-15","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-16","0.02","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-17","0.27","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-18","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-19","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-20","0.00","0.0","0",,
"US1COBO0019","BOULDER 4.6 E, CO US","2002-05-21","0.01","0.0","0",,
